COUNTRY,INDICATORs,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Grenada,"All Items, Consumer price index (CPI), End-of-period (EoP)",110.46,112.01,112.09,111.19,113.32,116.61,119.17,120.18,121.429,123.425
Barbados,"All Items, Consumer price index (CPI), Period average",95.953,98.817,100.517,101.167,102.721,107.2,110.617,112.2,114.733,117.643
Puerto Rico,"All Items, Consumer price index (CPI), End-of-period (EoP)",118,118.672,119.3,119.202,124.157,131.7,134.262,136.836,139.467,142.895
Guyana,"All Items, Consumer price index (CPI), Period average",114.729,116.189,118.619,120.076,124.065,132.108,138.084,141.481,146.596,153.076
Jamaica,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",10733.667,10983.161,11169.174,10229.989,10801.277,11483.727,11785.688,11709.296,11941.592,12112.773
Belize,"All Items, Consumer price index (CPI), Period average",99.425,99.693,99.878,100,103.239,109.716,114.543,118.3,119.958,122.245
Belize,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",11629.952,11495.919,11757.077,9989.291,11598.187,12731.297,12582.437,12810.398,12796.364,12905.173
Guyana,"All Items, Consumer price index (CPI), End-of-period (EoP)",115.214,117.1,119.514,120.647,127.49,136.72,139.43,143.5,149.691,156.483
Belize,"All Items, Consumer price index (CPI), End-of-period (EoP)",99.565,99.457,99.62,100,104.906,111.974,116.143,119.121,120.869,122.392
Jamaica,"All Items, Consumer price index (CPI), End-of-period (EoP)",95.241,97.565,103.632,109,116.98,127.93,136.7,143.5,149.958,157.515
Puerto Rico,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",42873.022,42284.357,42992.993,41725.467,41354.326,42577.257,42713.372,44492.035,44157.736,44135.205
Jamaica,"All Items, Consumer price index (CPI), Period average",92.768,96.237,100,105.21,111.398,122.925,130.88,138.141,143.943,151.171
Middle East and Central Asia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",13539.233,13635.313,13681.682,13071.953,13452.903,14009.882,14068.373,14131.826,14984.849,15282.302
Suriname,"All Items, Consumer price index (CPI), Period average",125.975,134.717,140.633,189.7,301.85,460.164,697.529,810.683,883.317,968.192
St. Lucia,"All Items, Consumer price index (CPI), End-of-period (EoP)",115.341,117.844,117.016,116.587,121.423,129.801,132.055,134.228,135.919,134.69
St. Vincent and the Grenadines,"All Items, Consumer price index (CPI), End-of-period (EoP)",109.3,110.8,111.3,110.2,114,121.6,126.5,129.1,131.901,134.543
St. Vincent and the Grenadines,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",14898.271,15360.531,15458.714,14716.971,15028.349,15773.667,16623.12,17463.188,18211.74,18683.114
St. Lucia,"All Items, Consumer price index (CPI), Period average",114.136,117.053,117.684,115.618,118.404,125.959,131.622,130.941,131.457,133.409
St. Kitts and Nevis,"All Items, Consumer price index (CPI), End-of-period (EoP)",107.547,106.741,105.848,104.6,106.62,110.73,112.487,114.629,116.58,119.03
St. Kitts and Nevis,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",28522.902,28873.584,29496.417,24793.305,24695.61,27043.077,28296.339,28795.738,29241.754,29824.577
Puerto Rico,"All Items, Consumer price index (CPI), Period average",117.9,119.4,119.5,118.906,121.772,129.1,133.59,136.283,138.151,141.181
St. Lucia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",22334.506,22891.6,22649.033,17207.353,19122.25,23021.535,23707.644,24663.592,25091.933,25469.518
St. Vincent and the Grenadines,"All Items, Consumer price index (CPI), Period average",107.925,110.433,111.433,110.758,112.483,118.85,124.275,128.742,131.414,134.233
St. Kitts and Nevis,"All Items, Consumer price index (CPI), Period average",107.348,106.236,105.885,104.638,105.9,108.726,112.641,113.81,115.746,118.179
Trinidad and Tobago,"All Items, Consumer price index (CPI), Period average",122.192,123.437,124.672,125.419,128.004,135.462,141.733,142.48,144.553,147.78
Trinidad and Tobago,"All Items, Consumer price index (CPI), End-of-period (EoP)",121.566,122.815,123.269,124.291,128.604,139.841,140.863,141.544,144.637,147.932
Suriname,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",22287.641,23116.991,23077.945,19044.074,18299.769,18457.181,18640.187,18904.059,19127.717,19544.909
Suriname,"All Items, Consumer price index (CPI), End-of-period (EoP)",130.5,137.6,143.4,230.5,370.4,572.563,759.317,835.955,924.309,1000.183
Trinidad and Tobago,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",33420.332,32966.663,32999.105,30001.626,29631.117,29732.7,30017.516,30621.301,30788.231,31014.774
Kuwait,"All Items, Consumer price index (CPI), End-of-period (EoP)",112.8,113.3,114.9,118.3,123.4,127.3,131.7,135.177,138.161,141.181
Jordan,"All Items, Consumer price index (CPI), End-of-period (EoP)",96.94,100.75,101.52,101.11,103.54,108.05,109.82,111.76,114.26,117.192
Kuwait,"All Items, Consumer price index (CPI), Period average",112.333,112.958,114.192,116.592,120.583,125.383,129.95,133.717,136.637,139.684
Iraq,"All Items, Consumer price index (CPI), End-of-period (EoP)",89.402,89.317,89.402,92.223,97.095,101.283,105.3,108.1,110.046,112.797
"Iran, Islamic Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",16957.071,16119.904,15551.49,16056.135,16716.017,17269.193,18008.292,18481.515,18415.806,18434.663
Jordan,"All Items, Consumer price index (CPI), Period average",95.729,100.002,100.76,101.097,102.458,106.792,109.018,110.713,113.142,116.066
"Iran, Islamic Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",31.5,46.4,56.6,84.2,113,174.1,230.2,315.7,457.765,617.983
"Bahrain, Kingdom of","All Items, Consumer price index (CPI), Period average",96.881,98.907,99.903,97.58,96.983,100.508,100.583,101.508,101.813,102.627
Cyprus,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",42608.408,44831.667,46847.49,44723.939,50173.854,53272.311,53484.53,54733.69,56006.193,57312.497
Cyprus,"All Items, Consumer price index (CPI), Period average",99.447,100.234,100.783,99.667,101.92,110.174,114.5,117.087,117.927,119.487
Cyprus,"All Items, Consumer price index (CPI), End-of-period (EoP)",98.32,99.31,100.03,99.24,104.04,111.93,114.09,117.65,117.179,119.523
"Bahrain, Kingdom of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",53859.775,54893.072,56749.963,53814.245,54954.676,57572.998,57819.866,58892.609,59408.021,60206.6
"Bahrain, Kingdom of","All Items, Consumer price index (CPI), End-of-period (EoP)",96.32,98.23,99.4,97.8,97.4,100.9,100.6,101.1,101.606,102.418
"Iran, Islamic Republic of","All Items, Consumer price index (CPI), Period average",30.558,38.783,52.275,71.333,100,145.75,205.058,271.675,386.733,547.567
Lebanon,"All Items, Consumer price index (CPI), End-of-period (EoP)",103.9,108,115.5,284,921.4,2045.5,5978.1,7061.1,,
Jordan,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",9357.042,9313.703,9265.266,8970.22,9115.022,9242.269,9465.896,9660.698,9871.944,10093.895
Israel,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",42996.913,43884.501,44593.374,43013.466,46260.657,48257.975,47782.155,47548.762,47826.447,48791.57
Iraq,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",15413.825,15411.08,15854.899,13533.889,13380.409,14051.413,13828.803,13466.965,13199.274,13351.239
Israel,"All Items, Consumer price index (CPI), End-of-period (EoP)",87.139,87.833,88.361,87.747,90.208,94.956,97.765,100.931,103.74,106.196
Iraq,"All Items, Consumer price index (CPI), Period average",89.161,89.475,89.297,89.809,95.235,99.985,104.4,107.092,108.733,111.451
Kuwait,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",51393.581,50495.652,51124.997,50104.418,50364.888,49194.047,47195.371,45085.342,45339.073,46195.526
Israel,"All Items, Consumer price index (CPI), Period average",86.965,87.667,88.405,87.886,89.197,93.117,97.036,100.016,103.171,105.458
United Arab Emirates,"All Items, Consumer price index (CPI), Period average",258.192,266.12,260.972,255.554,255.265,267.579,271.934,276.452,280.919,286.537
Qatar,"All Items, Consumer price index (CPI), End-of-period (EoP)",100.39,99.69,99.28,95.93,102.14,108.2,109.98,108.18,108.328,111.167
Oman,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",38499.651,38641.812,38071.279,38213.366,38829.478,38138.513,36857.083,36311.973,36201.209,36480.903
Oman,"All Items, Consumer price index (CPI), End-of-period (EoP)",99.615,100.181,100.671,99.781,103.374,104.922,105.596,106.301,106.868,108.471
Lebanon,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",13935.217,14041.041,13468.45,10369.024,10711.023,11020.891,11221.349,10379.748,,
Lebanon,"All Items, Consumer price index (CPI), Period average",100.558,106.65,109.733,202.875,516.842,1401.65,4504.1,6541.9,,
Qatar,"All Items, Consumer price index (CPI), Period average",99.9,100,99.1,96.6,98.8,103.7,106.9,108.2,108.348,111.187
Oman,"All Items, Consumer price index (CPI), Period average",99.304,100.003,100.475,100.078,101.744,104.299,105.292,105.915,106.868,108.471
Qatar,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",107514.393,107439.617,106670.63,101624.143,106491.281,103982.867,101076.457,102444.916,104872.652,110702.635
"Egypt, Arab Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",15272.225,15771.092,16343.303,16641.726,16930.47,17795.137,18183.459,18254.553,18660.835,19116.314
"Egypt, Arab Republic of","All Items, Consumer price index (CPI), Period average",72.658,87.808,99.992,105.692,110.448,119.836,149.067,198.708,239.283,267.504
United Arab Emirates,"All Items, Consumer price index (CPI), End-of-period (EoP)",273.455,281.852,276.4,270.662,270.355,283.398,288.009,292.795,297.526,303.476
Saudi Arabia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",57942.548,61359.465,62647.714,57420.734,62690.497,67178.59,64481.844,62792.774,64036.902,65278.985
United Arab Emirates,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",71817.472,72422.418,72310.12,67612.289,66592.118,68618.337,68958.495,69622.51,72385.586,75450.558
Saudi Arabia,"All Items, Consumer price index (CPI), Period average",97.601,100,97.907,101.28,104.383,106.965,109.454,111.302,113.639,115.912
Saudi Arabia,"All Items, Consumer price index (CPI), End-of-period (EoP)",96.85,98.7,98.52,103.77,105.06,107.2,107.61,107.9,110.166,112.369
Bangladesh,"All Items, Consumer price index (CPI), End-of-period (EoP)",212.948,224.75,237.152,251.43,265.616,285.704,313.546,343.991,373.177,404.598
"Egypt, Arab Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",81.5,93.2,101.922,107.724,112.995,127.858,173.538,221.249,254.256,282.889
"Afghanistan, Islamic Republic of","All Items, Consumer price index (CPI), Period average",110.998,111.693,114.264,120.671,130.038,143.822,132.728,127.069,,
West Bank and Gaza,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",6048.587,5970.613,5902.798,5106.965,5333.288,5418.896,5050.542,3623.334,,
"Yemen, Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",2014.988,1970.931,1953.505,1736.83,1672.917,1649.915,1568.976,1500.035,1435.419,1395.734
West Bank and Gaza,"All Items, Consumer price index (CPI), Period average",100.195,99.999,101.556,100.833,102.082,105.9,112.118,172.289,,
"Yemen, Republic of","All Items, Consumer price index (CPI), Period average",858.625,1147.513,1327.542,1615.262,2123.492,2750.158,2773.761,3714.555,4473.801,5302.519
"Yemen, Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",994.857,1351.91,1370.374,1962.755,2951.945,2872.82,3555.691,3873.42,5074.181,5530.857
Emerging and Developing Asia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",11799.379,12455.239,13017.69,12840.575,13752.269,14316.562,15102.798,15820.079,16556.466,17255.802
Cambodia,"All Items, Consumer price index (CPI), Period average",169.878,174.037,177.442,182.657,187.995,198.017,202.238,204.002,207.336,211.099
Brunei Darussalam,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",80146.923,78315.496,78748.119,81299.219,80202.909,78067.051,78053.626,80325.25,81021.574,82095.234
Cambodia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",5814.761,6223.876,6610.376,6274.1,6368.944,6595.789,6857.535,7198.407,7467.367,7688.824
Bangladesh,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",6100.325,6478.448,6916.623,7083.721,7485.821,7928.67,8299.924,8562.951,8797.093,9138.517
Bangladesh,"All Items, Consumer price index (CPI), Period average",217.657,230.243,242.848,256.563,270.822,287.477,313.396,343.889,378.381,411.49
"Afghanistan, Islamic Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",112.315,113.162,116.3,122.1,140.833,143.56,130.603,130.993,,
ASEAN-5,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",15063.165,15640.585,16134.088,15247.517,15751.825,16470.956,16975.666,17592.841,18159.714,18735.317
"Afghanistan, Islamic Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",2742.357,2696.05,2721.2,2575.216,2138.87,1970.966,1948.778,1929.255,,
"Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",65471.554,66679.921,65278.781,61776.93,65988.196,62952.6,64504.745,66361.241,67682.405,68782.123
Myanmar,"All Items, Consumer price index (CPI), Period average",98.05,105.188,114.733,117.312,128.575,164.583,206.532,261.263,342.254,438.085
Bhutan,"All Items, Consumer price index (CPI), Period average",224.985,233.136,239.698,246.978,267.28,283.172,296.015,308.626,316.101,326.848
Cambodia,"All Items, Consumer price index (CPI), End-of-period (EoP)",172.12,174.866,179.95,185.125,192.839,197.476,202.844,209.03,212.446,216.302
Bhutan,"All Items, Consumer price index (CPI), End-of-period (EoP)",227.132,232.925,239.327,249.998,268.595,286.278,297.254,302.436,311.812,323.349
Bhutan,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",12818.072,13159.511,13669.072,13243.36,12724.453,13252.271,13830.664,14324.816,15198.577,16222.09
Myanmar,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",4855.66,5124.048,5423.611,4902.155,4287.946,4434.747,4455.05,4383.092,4245.962,4353.782
Brunei Darussalam,"All Items, Consumer price index (CPI), End-of-period (EoP)",99.124,99.118,99.389,101.376,103.593,107.002,107.723,107.231,107.875,108.554
Brunei Darussalam,"All Items, Consumer price index (CPI), Period average",98.406,99.415,99.027,100.948,102.698,106.48,106.86,106.445,106.87,107.512
Myanmar,"All Items, Consumer price index (CPI), End-of-period (EoP)",100.597,108.566,115.745,118.805,139.357,179.15,224.53,287.398,373.618,478.231
Indonesia,"All Items, Consumer price index (CPI), End-of-period (EoP)",88.51,91.31,93.67,95.24,97.03,102.28,105.15,106.8,109.557,112.38
Taiwan Province of China,"All Items, Consumer price index (CPI), End-of-period (EoP)",97.35,97.29,98.41,98.45,101.04,103.78,106.58,108.82,110.948,112.773
"Hong Kong Special Administrative Region, People's Republic of China","All Items, Consumer price index (CPI), Period average",94.55,96.825,99.617,99.867,101.433,103.342,105.508,107.333,109.212,111.505
Sri Lanka,"All Items, Consumer price index (CPI), Period average",93.408,97.4,101.592,106.233,112.558,163.45,191.833,194.217,,
Taiwan Province of China,"All Items, Consumer price index (CPI), Period average",96.453,97.755,98.302,98.068,100,102.947,105.513,107.813,109.679,111.39
Taiwan Province of China,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",54819.009,56369.427,58056.763,60149.198,64701.984,66754.34,67054.001,70358.373,73006.621,74613.464
Sri Lanka,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",14578.603,14759.823,14637.443,13886.652,14316.135,13122.131,12679.309,13171.959,,
Sri Lanka,"All Items, Consumer price index (CPI), End-of-period (EoP)",96.4,99.1,103.4,107.667,118.333,187.733,193.3,190.333,,
"Hong Kong Special Administrative Region, People's Republic of China","All Items, Consumer price index (CPI), End-of-period (EoP)",95.5,97.9,100.7,99.8,102.2,104.2,106.544,106.588,110.613,113.292
Malaysia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",29858.89,30957.249,32183.614,30498.673,31385.032,34139.997,34912.211,36254.645,37447.766,38511.514
"Korea, Republic of","All Items, Consumer price index (CPI), Period average",97.645,99.086,99.466,100,102.498,107.715,111.59,114.181,116.455,118.605
Lao People's Democratic Republic,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",7540.315,7890.684,8135.189,7981.017,8029.626,8153.46,8334.647,8575.775,8758.305,8862.657
Malaysia,"All Items, Consumer price index (CPI), Period average",119.525,120.683,121.483,120.1,123.075,127.233,130.4,132.792,134.899,137.868
"Timor-Leste, Democratic Republic of","All Items, Consumer price index (CPI), Period average",97.708,99.95,100.842,101.333,105.158,112.525,122,124.517,125.62,127.879
"Timor-Leste, Democratic Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",98.3,100.4,100.7,101.9,107.3,114.7,124.7,124.2,126.551,128.71
India,"All Items, Consumer price index (CPI), Period average",135,139.608,146.267,155.283,163.833,174.733,184.1,192.617,198.052,206.065
Indonesia,"All Items, Consumer price index (CPI), Period average",87.253,90.124,92.668,94.55,96.026,100,103.713,106.098,108.049,111.188
Indonesia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",12042.442,12531.011,13024.376,12599.952,12947.903,13484.7,14014.268,14567.255,15123.192,15718.11
India,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",7326.604,7714.336,7930.089,7399.53,8050.019,8594.389,9301.754,9818.043,10378.042,10922.071
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",7718.453,7537.747,7590.371,6812.249,6883.968,7034.146,7122.211,7334.961,7524.645,7675.309
India,"All Items, Consumer price index (CPI), End-of-period (EoP)",136.6,139.967,149.3,156.567,166.5,176.833,185.7,192.633,198.942,207.636
Nepal,"All Items, Consumer price index (CPI), End-of-period (EoP)",70.278,73.495,77.92,81.641,85.059,91.936,98.774,102.299,104.922,110.25
Lao People's Democratic Republic,"All Items, Consumer price index (CPI), End-of-period (EoP)",102.639,104.163,110.709,114.281,120.301,167.539,208.366,243.532,255.688,271.438
"Korea, Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",97.698,98.988,99.719,100.33,104.04,109.26,112.73,114.91,117.07,119.345
"Macao Special Administrative Region, People's Republic of China","All Items, Consumer price index (CPI), Period average",91.96,94.724,97.331,98.12,98.148,99.173,100.103,100.843,101.347,102.611
Lao People's Democratic Republic,"All Items, Consumer price index (CPI), Period average",102.141,104.225,107.688,113.185,117.433,144.395,189.489,233.323,251.62,265.461
Malaysia,"All Items, Consumer price index (CPI), End-of-period (EoP)",120.9,121.1,122.3,120.6,124.5,129.2,131.2,133.4,136.552,139.283
"Korea, Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",47685.807,48987.532,49946.948,49528.867,51880.379,53395.465,54198.713,55243.573,55814.224,56912.758
"Macao Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",132539.551,138007.619,132055.665,59992.791,74101.781,60491.741,104209.67,112630.833,113761.956,115257.812
"Macao Special Administrative Region, People's Republic of China","All Items, Consumer price index (CPI), End-of-period (EoP)",93.24,95.98,98.44,97.59,98.56,99.32,100.73,100.96,101.465,102.731
Philippines,"All Items, Consumer price index (CPI), Period average",94.942,99.983,102.375,104.825,108.942,115.283,122.175,126.1,128.128,131.396
Philippines,"All Items, Consumer price index (CPI), End-of-period (EoP)",96.3,101.4,103.8,107.2,110.5,119.4,124.1,127.7,129.616,133.245
Maldives,"All Items, Consumer price index (CPI), End-of-period (EoP)",98.08,98.61,100.301,98.251,98.408,101.704,103.636,108.08,111.323,113.549
Maldives,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",25422.91,27170.558,28672.344,18919.087,25585.822,28642.626,29546.644,30013.454,30930.753,31789.203
Maldives,"All Items, Consumer price index (CPI), Period average",96.879,98.203,99.505,97.919,98.128,100.68,103.303,104.796,108.853,111.572
Nepal,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",4071.704,4371.386,4607.525,4412.542,4546.23,4763.388,4861.23,5046.816,5265.625,5541.607
Pakistan,"All Items, Consumer price index (CPI), End-of-period (EoP)",106.53,112.6,121.63,132.08,144.82,175.71,227.37,255.94,264.22,285.293
Pakistan,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",5465.325,5671.866,5734.011,5568.268,5774.486,6012.231,5884.114,5916.756,5960.379,6057.088
Pakistan,"All Items, Consumer price index (CPI), Period average",104.792,109.717,117.18,129.764,141.308,158.481,204.728,252.656,264.013,279.967
Nepal,"All Items, Consumer price index (CPI), Period average",69.107,71.961,75.288,79.917,82.776,88.05,94.856,100,104.057,108.379
Djibouti,"All Items, Consumer price index (CPI), End-of-period (EoP)",88.662,90.41,93.362,93.644,96.031,99.472,103.2,102.6,104.447,106.118
Vietnam,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",10455.926,11118.43,11711.748,11911.695,12101.363,13008.338,13551.767,14370.773,15169.814,15897.678
Singapore,"All Items, Consumer price index (CPI), Period average",85.084,85.457,85.942,85.794,87.781,93.163,97.666,100,100.928,102.24
Philippines,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",8909.613,9332.174,9761.941,8678.277,9100.877,9714.916,10162.225,10621.088,11080.499,11592.205
Singapore,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",116471.821,119927.769,120114.134,115893.042,132617.354,133571.962,129555.246,132569.525,134619.969,136098.349
Singapore,"All Items, Consumer price index (CPI), End-of-period (EoP)",85.274,85.67,86.325,86.358,89.781,95.591,99.177,100.661,101.768,103.091
"Palau, Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",16581.174,16519.262,16576.294,15587.41,13736.325,13678.816,13852.241,15522.235,16259.013,16841.914
Thailand,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",20663.083,21467.84,21859.724,20485.89,20756.86,21263.528,21658.422,22182.254,22605.674,22953.426
Thailand,"All Items, Consumer price index (CPI), End-of-period (EoP)",91.62,91.95,92.75,92.5,94.51,100.08,99.24,100.47,101.068,101.876
"Palau, Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",100.7,103.6,103.3,103.9,108.7,123.61,134.706,137.8,140.079,145.863
"Palau, Republic of","All Items, Consumer price index (CPI), Period average",100.375,102.825,103.275,104,103.5,117.146,131.692,136.446,138.94,142.971
Thailand,"All Items, Consumer price index (CPI), Period average",91.158,92.13,92.78,91.995,93.128,98.786,100,100.398,100.551,101.261
Algeria,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",15415.942,15317.132,15153.888,14256.01,14556.823,14843.083,15222.25,15564.458,15874.092,16123.744
Sub-Saharan Africa (SSA),"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",5156.167,5180.344,5198.758,4903.801,4964.06,5056.986,5119.418,5195.302,5278.203,5373.911
Vietnam,"All Items, Consumer price index (CPI), Period average",257.544,266.661,274.114,282.94,288.137,297.235,306.904,318.027,328.847,339.241
Vietnam,"All Items, Consumer price index (CPI), End-of-period (EoP)",261.158,268.948,283.02,283.55,288.691,301.823,312.632,321.843,332.753,343.255
Djibouti,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",6057.941,6249.053,6496.427,6478.399,6668.109,6916.682,7328.475,7706.113,8068.199,8450.317
Djibouti,"All Items, Consumer price index (CPI), Period average",89.241,89.365,92.33,93.972,95.082,100,101.447,103.592,105.192,106.692
Cameroon,"All Items, Consumer price index (CPI), Period average",246.38,249.001,255.118,261.369,267.281,283.992,304.969,318.718,330.457,341.363
Botswana,"All Items, Consumer price index (CPI), End-of-period (EoP)",314.34,325.465,332.625,339.785,369.402,415.284,430.018,437.424,459.296,479.964
Botswana,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",16376.663,16717.798,16892.007,15135.183,16663.189,17297.512,17551.773,16749.389,16340.34,16458.371
Algeria,"All Items, Consumer price index (CPI), End-of-period (EoP)",197.62,202.96,207.9,215.21,233.47,255.17,275.17,283.38,296.437,308.029
Algeria,"All Items, Consumer price index (CPI), Period average",193.97,202.253,206.2,211.18,226.44,247.425,270.486,281.43,291.224,302.602
Botswana,"All Items, Consumer price index (CPI), Period average",320.632,331.023,340.109,346.538,369.683,414.714,436.019,448.316,463.385,485.396
Angola,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",10422.336,10008.044,9654.599,8966.65,8869.641,8962.065,8804.341,8882.938,8761.933,8641.592
Chad,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",2557.684,2611.503,2683.597,2606.188,2580.796,2623.873,2676.561,2692.744,2705.817,2726.116
Cameroon,"All Items, Consumer price index (CPI), End-of-period (EoP)",247.36,252.242,258.365,263.841,272.962,292.93,310.12,325.739,337.466,346.915
Burundi,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",881.776,869.327,856.744,834.972,837.878,830.408,829.552,837.077,848.44,857.093
Cabo Verde,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",8523.23,8803.014,9375.983,7394.97,7876.348,9079.765,9468.708,10105.856,10578.985,11027.397
Burundi,"All Items, Consumer price index (CPI), Period average",114.66,111.456,110.544,118.866,128.806,153.093,194.547,233.823,321.117,405.532
